    915.913000 #82978    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    915.913000 #82979    cpu1 RAD.WR   addr=0x040b val=0x0000
    915.913000 #82980    cpu1 RAD.MOD  addr=0x040b val=0x0001 mask=0x0001
    915.913000 #82981    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    915.913000 #82982    cpu1 RAD.WR   addr=0x040b val=0x0001
    915.913000 #82983    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    915.913000 #82984    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    915.913000 #82985    cpu1 RAD.MOD  addr=0x0548 val=0x0000 mask=0x0001
    915.913000 #82986    cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
    915.913000 #82987    cpu1 RAD.WR   addr=0x0548 val=0x0000
    915.913000 #82988    cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0040
    915.913000 #82989    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    915.913000 #82990    cpu1 RAD.WR   addr=0x08ea val=0x00bf
    915.913000 #82991    cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
    915.913000 #82992    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    915.913000 #82993    cpu1 RAD.WR   addr=0x08ea val=0x003f
    915.913000 #82994    cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
    915.913000 #82995    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    915.913000 #82996    cpu1 RAD.WR   addr=0x040b val=0x0168
    915.913000 #82997    cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
    915.913000 #82998    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    915.913000 #82999    cpu1 RAD.WR   addr=0x08ea val=0x00bf
    915.913000 #83000    cpu1 RAD.MOD  addr=0x08ed val=0x0400 mask=0x0600
    915.913000 #83001    cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
    915.913000 #83002    cpu1 RAD.WR   addr=0x08ed val=0x4524
    915.913000 #83003    cpu1 RAD.MOD  addr=0x0410 val=0x1000 mask=0x1000
    915.913000 #83004    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.913000 #83005    cpu1 RAD.WR   addr=0x0410 val=0x1f80
    915.913000 #83006    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0018
    915.913000 #83007    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.913000 #83008    cpu1 RAD.WR   addr=0x0410 val=0x1f80
    915.913000 #83009    cpu1 RAD.MOD  addr=0x0411 val=0x1c00 mask=0xff00
    915.913000 #83010    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    915.913000 #83011    cpu1 RAD.WR   addr=0x0411 val=0x1c54
    915.913000 #83012    cpu1 RAD.WR   addr=0x0412 val=0x014a
    915.913000 #83013    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    915.913000 #83014    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.913000 #83015    cpu1 RAD.WR   addr=0x0410 val=0x1f80
    915.913000 #83016    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    915.913000 #83017    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.913000 #83018    cpu1 RAD.WR   addr=0x0410 val=0x1f81
