    701.020000 #120      cpu1 RAD.MOD  addr=0x0526 val=0x0100 mask=0x0300
    701.020000 #121      cpu1 RAD.RD   addr=0x0526 val=UNDEFINED
    701.020000 #122      cpu1 RAD.WR   addr=0x0526 val=0x0100
    701.020000 #123      cpu1 RAD.MOD  addr=0x0527 val=0x0002 mask=0x0003
    701.020000 #124      cpu1 RAD.RD   addr=0x0527 val=UNDEFINED
    701.020000 #125      cpu1 RAD.WR   addr=0x0527 val=0x0002
    701.020000 #126      cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0004
    701.020000 #127      cpu1 RAD.RD   addr=0x046f val=UNDEFINED
    701.020000 #128      cpu1 RAD.WR   addr=0x046f val=0x0000
    701.020000 #129      cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0001
    701.020000 #130      cpu1 RAD.RD   addr=0x046f val=UNDEFINED
    701.020000 #131      cpu1 RAD.WR   addr=0x046f val=0x0000
    701.020000 #132      cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0002
    701.020000 #133      cpu1 RAD.RD   addr=0x046f val=UNDEFINED
    701.020000 #134      cpu1 RAD.WR   addr=0x046f val=0x0000
    701.020000 #135      cpu1 RAD.MOD  addr=0x0465 val=0x0000 mask=0x0001
    701.020000 #136      cpu1 RAD.RD   addr=0x0465 val=UNDEFINED
    701.020000 #137      cpu1 RAD.WR   addr=0x0465 val=0x0000
    701.020000 #138      cpu1 RAD.MOD  addr=0x040c val=0x0000 mask=0x0010
    701.020000 #139      cpu1 RAD.RD   addr=0x040c val=UNDEFINED
    701.020000 #140      cpu1 RAD.WR   addr=0x040c val=0x0200
    701.020000 #141      cpu1 PHY.WR   addr=0x0408 val=0x0c06
    701.020000 #142      cpu1 RAD.MOD  addr=0x040c val=0x0010 mask=0x0010
    701.020000 #143      cpu1 RAD.RD   addr=0x040c val=UNDEFINED
    701.020000 #144      cpu1 RAD.WR   addr=0x040c val=0x0211
    701.020000 #145      cpu1 PHY.WR   addr=0x0417 val=0x000d
    701.020000 #146      cpu1 PHY.WR   addr=0x0408 val=0x0c02
    701.020000 #147      cpu1 PHY.WR   addr=0x0728 val=0x0180
    701.020000 #148      cpu1 PHY.WR   addr=0x0417 val=0x0004
    701.020000 #149      cpu1 PHY.WR   addr=0x0728 val=0x0000
    701.020000 #150      cpu1 RAD.MOD  addr=0x08ea val=0x0040 mask=0x0040
    701.020000 #151      cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    701.020000 #152      cpu1 RAD.WR   addr=0x08ea val=0x00ff
    701.020000 #153      cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
    701.020000 #154      cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    701.020000 #155      cpu1 RAD.WR   addr=0x08ea val=0x00ff
    701.020000 #156      cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x0600
    701.020000 #157      cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
    701.020000 #158      cpu1 RAD.WR   addr=0x08ed val=0x4124
    701.020000 #159      cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x1800
    701.020000 #160      cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
    701.020000 #161      cpu1 RAD.WR   addr=0x08ed val=0x4124
    701.020000 #162      cpu1 RAD.MOD  addr=0x0548 val=0x0001 mask=0x0001
    701.020000 #163      cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
    701.020000 #164      cpu1 RAD.WR   addr=0x0548 val=0x0001
    701.020000 #165      cpu1 RAD.WR   addr=0x0549 val=0x0000
    701.020000 #166      cpu1 RAD.WR   addr=0x054a val=0x0000
    701.020000 #167      cpu1 RAD.WR   addr=0x054b val=0x0000
    701.020000 #168      cpu1 RAD.WR   addr=0x054c val=0x0000
    701.020000 #169      cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
    701.020000 #170      cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    701.020000 #171      cpu1 RAD.WR   addr=0x040b val=0x0000
    701.020000 #172      cpu1 RAD.MOD  addr=0x040b val=0x0001 mask=0x0001
    701.020000 #173      cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    701.020000 #174      cpu1 RAD.WR   addr=0x040b val=0x0001
    701.020000 #175      cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    701.022000 #176      cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    701.022000 #177      cpu1 RAD.MOD  addr=0x0548 val=0x0000 mask=0x0001
    701.022000 #178      cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
    701.022000 #179      cpu1 RAD.WR   addr=0x0548 val=0x0000
    701.022000 #180      cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0040
    701.022000 #181      cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    701.022000 #182      cpu1 RAD.WR   addr=0x08ea val=0x00bf
    701.022000 #183      cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
    701.022000 #184      cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    701.022000 #185      cpu1 RAD.WR   addr=0x08ea val=0x003f
    701.022000 #186      cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
    701.022000 #187      cpu1 RAD.RD   addr=0x040b val=UNDEFINED
    701.022000 #188      cpu1 RAD.WR   addr=0x040b val=0x0168
    701.022000 #189      cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
    701.022000 #190      cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    701.022000 #191      cpu1 RAD.WR   addr=0x08ea val=0x00bf
    701.022000 #192      cpu1 RAD.MOD  addr=0x08ed val=0x0400 mask=0x0600
    701.022000 #193      cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
    701.022000 #194      cpu1 RAD.WR   addr=0x08ed val=0x4524
    701.022000 #195      cpu1 RAD.MOD  addr=0x0410 val=0x1000 mask=0x1000
    701.022000 #196      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.022000 #197      cpu1 RAD.WR   addr=0x0410 val=0x1f80
    701.022000 #198      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0018
    701.022000 #199      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.022000 #200      cpu1 RAD.WR   addr=0x0410 val=0x1f80
    701.022000 #201      cpu1 RAD.MOD  addr=0x0411 val=0x1c00 mask=0xff00
    701.022000 #202      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.022000 #203      cpu1 RAD.WR   addr=0x0411 val=0x1c54
    701.022000 #204      cpu1 RAD.WR   addr=0x0412 val=0x014a
    701.022000 #205      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    701.022000 #206      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.022000 #207      cpu1 RAD.WR   addr=0x0410 val=0x1f80
    701.022000 #208      cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    701.022000 #209      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.022000 #210      cpu1 RAD.WR   addr=0x0410 val=0x1f81
    701.022000 #211      cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    701.022000 #212      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.022000 #213      cpu1 RAD.WR   addr=0x0411 val=0x1c55
    701.022000 #214      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.022000 #215      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.022000 #216      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.022000 #217      cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    701.022000 #218      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.023000 #219      cpu1 RAD.WR   addr=0x0411 val=0x1c54
    701.023000 #220      cpu1 RAD.RD   addr=0x0414 val=UNDEFINED
    701.023000 #221      cpu1 RAD.RD   addr=0x0415 val=UNDEFINED
    701.023000 #222      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    701.023000 #223      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.023000 #224      cpu1 RAD.WR   addr=0x0410 val=0x1f80
    701.023000 #225      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
    701.023000 #226      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.023000 #227      cpu1 RAD.WR   addr=0x0410 val=0x0f80
    701.023000 #228      cpu1 RAD.MOD  addr=0x0410 val=0x0010 mask=0x0018
    701.023000 #229      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.023000 #230      cpu1 RAD.WR   addr=0x0410 val=0x0f90
    701.023000 #231      cpu1 RAD.MOD  addr=0x0411 val=0x7000 mask=0xff00
    701.023000 #232      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.023000 #233      cpu1 RAD.WR   addr=0x0411 val=0x7054
    701.023000 #234      cpu1 RAD.WR   addr=0x0412 val=0x0101
    701.023000 #235      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    701.023000 #236      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.023000 #237      cpu1 RAD.WR   addr=0x0410 val=0x0f90
    701.023000 #238      cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    701.023000 #239      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.023000 #240      cpu1 RAD.WR   addr=0x0410 val=0x0f91
    701.023000 #241      cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    701.023000 #242      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.023000 #243      cpu1 RAD.WR   addr=0x0411 val=0x7055
    701.023000 #244      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.023000 #245      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.023000 #246      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.024000 #247      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.024000 #248      cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    701.024000 #249      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.024000 #250      cpu1 RAD.WR   addr=0x0411 val=0x7054
    701.024000 #251      cpu1 RAD.RD   addr=0x0416 val=UNDEFINED
    701.024000 #252      cpu1 RAD.MOD  addr=0x0126 val=0x0008 mask=0x001f
    701.024000 #253      cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
    701.024000 #254      cpu1 RAD.WR   addr=0x0126 val=0x0108
    701.024000 #255      cpu1 RAD.MOD  addr=0x0043 val=0x0008 mask=0x001f
    701.024000 #256      cpu1 RAD.RD   addr=0x0043 val=UNDEFINED
    701.024000 #257      cpu1 RAD.WR   addr=0x0043 val=0x0008
    701.024000 #258      cpu1 RAD.MOD  addr=0x0326 val=0x0008 mask=0x001f
    701.024000 #259      cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
    701.024000 #260      cpu1 RAD.WR   addr=0x0326 val=0x0108
    701.024000 #261      cpu1 RAD.MOD  addr=0x0243 val=0x0008 mask=0x001f
    701.024000 #262      cpu1 RAD.RD   addr=0x0243 val=UNDEFINED
    701.024000 #263      cpu1 RAD.WR   addr=0x0243 val=0x0008
    701.024000 #264      cpu1 RAD.MOD  addr=0x0526 val=0x0008 mask=0x001f
    701.024000 #265      cpu1 RAD.RD   addr=0x0526 val=UNDEFINED
    701.024000 #266      cpu1 RAD.WR   addr=0x0526 val=0x0108
    701.024000 #267      cpu1 RAD.MOD  addr=0x0443 val=0x0008 mask=0x001f
    701.024000 #268      cpu1 RAD.RD   addr=0x0443 val=UNDEFINED
    701.024000 #269      cpu1 RAD.WR   addr=0x0443 val=0x0008
    701.024000 #270      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    701.024000 #271      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.024000 #272      cpu1 RAD.WR   addr=0x0410 val=0x0f90
    701.024000 #273      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
    701.024000 #274      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.024000 #275      cpu1 RAD.WR   addr=0x0410 val=0x0f90
    701.024000 #276      cpu1 RAD.MOD  addr=0x0410 val=0x0008 mask=0x0018
    701.024000 #277      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.024000 #278      cpu1 RAD.WR   addr=0x0410 val=0x0f88
    701.024000 #279      cpu1 RAD.MOD  addr=0x0411 val=0x4000 mask=0xff00
    701.024000 #280      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.024000 #281      cpu1 RAD.WR   addr=0x0411 val=0x4054
    701.024000 #282      cpu1 RAD.WR   addr=0x0412 val=0x011a
    701.024000 #283      cpu1 RAD.MOD  addr=0x011d val=0x0000 mask=0x0004
    701.024000 #284      cpu1 RAD.RD   addr=0x011d val=UNDEFINED
    701.024000 #285      cpu1 RAD.WR   addr=0x011d val=0x0000
