    889.604000 #142      cpu0 RAD.WR   addr=0x040c val=0x0211
    889.604000 #143      cpu0 PHY.WR   addr=0x0417 val=0x000d
    889.604000 #144      cpu0 PHY.WR   addr=0x0408 val=0x0c02
    889.604000 #145      cpu0 PHY.WR   addr=0x0728 val=0x0180
    889.605000 #146      cpu0 PHY.WR   addr=0x0417 val=0x0004
    889.606000 #147      cpu0 PHY.WR   addr=0x0728 val=0x0000
    889.606000 #148      cpu0 RAD.MOD  addr=0x08ea val=0x0040 mask=0x0040
    889.607000 #149      cpu0 RAD.WR   addr=0x08ea val=0x00ff
    889.607000 #150      cpu0 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
    889.607000 #151      cpu0 RAD.WR   addr=0x08ea val=0x00ff
    889.607000 #152      cpu0 RAD.MOD  addr=0x08ed val=0x0000 mask=0x0600
    889.607000 #153      cpu0 RAD.WR   addr=0x08ed val=0x4124
    889.607000 #154      cpu0 RAD.MOD  addr=0x08ed val=0x0000 mask=0x1800
    889.608000 #155      cpu0 RAD.WR   addr=0x08ed val=0x4124
    889.608000 #156      cpu0 RAD.MOD  addr=0x0548 val=0x0001 mask=0x0001
    889.608000 #157      cpu0 RAD.WR   addr=0x0548 val=0x0001
    889.608000 #158      cpu0 RAD.WR   addr=0x0549 val=0x0000
    889.608000 #159      cpu0 RAD.WR   addr=0x054a val=0x0000
    889.608000 #160      cpu0 RAD.WR   addr=0x054b val=0x0000
    889.608000 #161      cpu0 RAD.WR   addr=0x054c val=0x0000
    889.608000 #162      cpu0 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
    889.609000 #163      cpu0 RAD.WR   addr=0x040b val=0x0000
    889.609000 #164      cpu0 RAD.MOD  addr=0x040b val=0x0001 mask=0x0001
    889.609000 #165      cpu0 RAD.WR   addr=0x040b val=0x0001
    889.609000 #166      cpu0 RAD.MOD  addr=0x0548 val=0x0000 mask=0x0001
    889.609000 #167      cpu0 RAD.WR   addr=0x0548 val=0x0000
    889.609000 #168      cpu0 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0040
    889.610000 #169      cpu0 RAD.WR   addr=0x08ea val=0x00bf
    889.610000 #170      cpu0 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
    889.610000 #171      cpu0 RAD.WR   addr=0x08ea val=0x003f
    889.611000 #172      cpu0 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
    889.611000 #173      cpu0 RAD.WR   addr=0x040b val=0x0168
    889.611000 #174      cpu0 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
    889.611000 #175      cpu0 RAD.WR   addr=0x08ea val=0x00bf
    889.611000 #176      cpu0 RAD.MOD  addr=0x08ed val=0x0400 mask=0x0600
    889.611000 #177      cpu0 RAD.WR   addr=0x08ed val=0x4524
    889.611000 #178      cpu0 RAD.MOD  addr=0x0410 val=0x1000 mask=0x1000
    889.611000 #179      cpu0 RAD.WR   addr=0x0410 val=0x1f80
    889.612000 #180      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0018
    889.612000 #181      cpu0 RAD.WR   addr=0x0410 val=0x1f80
    889.612000 #182      cpu0 RAD.MOD  addr=0x0411 val=0x1c00 mask=0xff00
    889.612000 #183      cpu0 RAD.WR   addr=0x0411 val=0x1c54
    889.612000 #184      cpu0 RAD.WR   addr=0x0412 val=0x014a
    889.612000 #185      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    889.612000 #186      cpu0 RAD.WR   addr=0x0410 val=0x1f80
    889.613000 #187      cpu0 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    889.613000 #188      cpu0 RAD.WR   addr=0x0410 val=0x1f81
    889.613000 #189      cpu0 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    889.613000 #190      cpu0 RAD.WR   addr=0x0411 val=0x1c55
    889.614000 #191      cpu0 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    889.614000 #192      cpu0 RAD.WR   addr=0x0411 val=0x1c54
    889.614000 #193      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    889.614000 #194      cpu0 RAD.WR   addr=0x0410 val=0x1f80
    889.615000 #195      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
    889.615000 #196      cpu0 RAD.WR   addr=0x0410 val=0x0f80
    889.616000 #197      cpu0 RAD.MOD  addr=0x0410 val=0x0010 mask=0x0018
    889.616000 #198      cpu0 RAD.WR   addr=0x0410 val=0x0f90
    889.616000 #199      cpu0 RAD.MOD  addr=0x0411 val=0x7000 mask=0xff00
