    853.044000 #58122    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    853.044000 #58123    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.044000 #58124    cpu1 RAD.WR   addr=0x0410 val=0x1f80
    853.044000 #58125    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    853.044000 #58126    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.044000 #58127    cpu1 RAD.WR   addr=0x0410 val=0x1f81
    853.044000 #58128    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    853.044000 #58129    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.044000 #58130    cpu1 RAD.WR   addr=0x0411 val=0x1c55
    853.045000 #58131    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.045000 #58132    cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    853.045000 #58133    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.045000 #58134    cpu1 RAD.WR   addr=0x0411 val=0x1c54
    853.045000 #58135    cpu1 RAD.RD   addr=0x0414 val=UNDEFINED
    853.045000 #58136    cpu1 RAD.RD   addr=0x0415 val=UNDEFINED
    853.045000 #58137    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    853.046000 #58138    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.046000 #58139    cpu1 RAD.WR   addr=0x0410 val=0x1f80
    853.046000 #58140    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
    853.046000 #58141    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.046000 #58142    cpu1 RAD.WR   addr=0x0410 val=0x0f80
    853.046000 #58143    cpu1 RAD.MOD  addr=0x0410 val=0x0010 mask=0x0018
    853.046000 #58144    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.046000 #58145    cpu1 RAD.WR   addr=0x0410 val=0x0f90
    853.046000 #58146    cpu1 RAD.MOD  addr=0x0411 val=0x7000 mask=0xff00
    853.046000 #58147    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.046000 #58148    cpu1 RAD.WR   addr=0x0411 val=0x7054
    853.047000 #58149    cpu1 RAD.WR   addr=0x0412 val=0x0101
    853.047000 #58150    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    853.047000 #58151    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.047000 #58152    cpu1 RAD.WR   addr=0x0410 val=0x0f90
    853.047000 #58153    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    853.047000 #58154    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.047000 #58155    cpu1 RAD.WR   addr=0x0410 val=0x0f91
    853.047000 #58156    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    853.047000 #58157    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.047000 #58158    cpu1 RAD.WR   addr=0x0411 val=0x7055
    853.047000 #58159    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.047000 #58160    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.047000 #58161    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.048000 #58162    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.048000 #58163    cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    853.048000 #58164    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.048000 #58165    cpu1 RAD.WR   addr=0x0411 val=0x7054
    853.048000 #58166    cpu1 RAD.RD   addr=0x0416 val=UNDEFINED
    853.048000 #58167    cpu1 RAD.MOD  addr=0x0126 val=0x0008 mask=0x001f
    853.048000 #58168    cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
    853.048000 #58169    cpu1 RAD.WR   addr=0x0126 val=0x0108
    853.048000 #58170    cpu1 RAD.MOD  addr=0x0043 val=0x0008 mask=0x001f
    853.048000 #58171    cpu1 RAD.RD   addr=0x0043 val=UNDEFINED
    853.048000 #58172    cpu1 RAD.WR   addr=0x0043 val=0x0008
    853.048000 #58173    cpu1 RAD.MOD  addr=0x0326 val=0x0008 mask=0x001f
    853.048000 #58174    cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
    853.048000 #58175    cpu1 RAD.WR   addr=0x0326 val=0x0108
    853.048000 #58176    cpu1 RAD.MOD  addr=0x0243 val=0x0008 mask=0x001f
    853.048000 #58177    cpu1 RAD.RD   addr=0x0243 val=UNDEFINED
    853.048000 #58178    cpu1 RAD.WR   addr=0x0243 val=0x0008
    853.048000 #58179    cpu1 RAD.MOD  addr=0x0526 val=0x0008 mask=0x001f
    853.048000 #58180    cpu1 RAD.RD   addr=0x0526 val=UNDEFINED
    853.048000 #58181    cpu1 RAD.WR   addr=0x0526 val=0x0108
    853.048000 #58182    cpu1 RAD.MOD  addr=0x0443 val=0x0008 mask=0x001f
    853.048000 #58183    cpu1 RAD.RD   addr=0x0443 val=UNDEFINED
    853.048000 #58184    cpu1 RAD.WR   addr=0x0443 val=0x0008
    853.048000 #58185    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    853.048000 #58186    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.048000 #58187    cpu1 RAD.WR   addr=0x0410 val=0x0f90
    853.048000 #58188    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
    853.048000 #58189    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.048000 #58190    cpu1 RAD.WR   addr=0x0410 val=0x0f90
    853.048000 #58191    cpu1 RAD.MOD  addr=0x0410 val=0x0008 mask=0x0018
    853.048000 #58192    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.048000 #58193    cpu1 RAD.WR   addr=0x0410 val=0x0f88
    853.048000 #58194    cpu1 RAD.MOD  addr=0x0411 val=0x4000 mask=0xff00
    853.048000 #58195    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.048000 #58196    cpu1 RAD.WR   addr=0x0411 val=0x4054
    853.048000 #58197    cpu1 RAD.WR   addr=0x0412 val=0x011a
    853.048000 #58198    cpu1 RAD.MOD  addr=0x011d val=0x0000 mask=0x0004
    853.048000 #58199    cpu1 RAD.RD   addr=0x011d val=UNDEFINED
    853.048000 #58200    cpu1 RAD.WR   addr=0x011d val=0x0000
    853.048000 #58201    cpu1 RAD.MOD  addr=0x0171 val=0x2000 mask=0x2000
    853.048000 #58202    cpu1 RAD.RD   addr=0x0171 val=UNDEFINED
    853.048000 #58203    cpu1 RAD.WR   addr=0x0171 val=0x2000
    853.048000 #58204    cpu1 RAD.MOD  addr=0x031d val=0x0000 mask=0x0004
    853.048000 #58205    cpu1 RAD.RD   addr=0x031d val=UNDEFINED
    853.048000 #58206    cpu1 RAD.WR   addr=0x031d val=0x0000
    853.048000 #58207    cpu1 RAD.MOD  addr=0x0371 val=0x2000 mask=0x2000
    853.048000 #58208    cpu1 RAD.RD   addr=0x0371 val=UNDEFINED
    853.048000 #58209    cpu1 RAD.WR   addr=0x0371 val=0x2000
    853.048000 #58210    cpu1 RAD.MOD  addr=0x051d val=0x0000 mask=0x0004
    853.048000 #58211    cpu1 RAD.RD   addr=0x051d val=UNDEFINED
    853.048000 #58212    cpu1 RAD.WR   addr=0x051d val=0x0000
    853.048000 #58213    cpu1 RAD.MOD  addr=0x0571 val=0x2000 mask=0x2000
    853.048000 #58214    cpu1 RAD.RD   addr=0x0571 val=UNDEFINED
    853.048000 #58215    cpu1 RAD.WR   addr=0x0571 val=0x2000
    853.048000 #58216    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    853.048000 #58217    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.048000 #58218    cpu1 RAD.WR   addr=0x0410 val=0x0f88
    853.048000 #58219    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    853.048000 #58220    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.048000 #58221    cpu1 RAD.WR   addr=0x0410 val=0x0f89
    853.048000 #58222    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    853.048000 #58223    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.048000 #58224    cpu1 RAD.WR   addr=0x0411 val=0x4055
    853.048000 #58225    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.048000 #58226    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.048000 #58227    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    853.048000 #58228    cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    853.048000 #58229    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    853.048000 #58230    cpu1 RAD.WR   addr=0x0411 val=0x4054
    853.048000 #58231    cpu1 RAD.RD   addr=0x0416 val=UNDEFINED
    853.049000 #58232    cpu1 RAD.MOD  addr=0x0171 val=0x0000 mask=0x2000
    853.049000 #58233    cpu1 RAD.RD   addr=0x0171 val=UNDEFINED
    853.049000 #58234    cpu1 RAD.WR   addr=0x0171 val=0x0000
    853.049000 #58235    cpu1 RAD.MOD  addr=0x0371 val=0x0000 mask=0x2000
    853.049000 #58236    cpu1 RAD.RD   addr=0x0371 val=UNDEFINED
    853.049000 #58237    cpu1 RAD.WR   addr=0x0371 val=0x0000
    853.049000 #58238    cpu1 RAD.MOD  addr=0x0571 val=0x0000 mask=0x2000
