trace_seq,op,addr,val,mask,match,n_driver_sites,driver_site(s),value_check
42967,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42968,RAD.RD,0x0544,UNDEFINED,,MULTI,8,todo_leftovers.c:1494 ?;todo_leftovers.c:1533 ?;todo_leftovers.c:1546 ?;todo_leftovers.c:1564 ?,
42985,PHY.WR,0x0381,0x7976,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
42986,PHY.WR,0x0383,0x003d,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
42987,PHY.WR,0x0380,0xa267,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
42988,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42989,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42990,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42991,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42992,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42993,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42994,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42995,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42996,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42997,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42998,RAD.RD,0x0544,UNDEFINED,,MULTI,8,todo_leftovers.c:1494 ?;todo_leftovers.c:1533 ?;todo_leftovers.c:1546 ?;todo_leftovers.c:1564 ?,
43013,PHY.WR,0x0381,0x7976,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
43014,PHY.WR,0x0383,0x003d,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
43015,PHY.WR,0x0380,0xa056,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
43016,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43017,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43018,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43019,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43020,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43021,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43022,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43023,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43024,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43025,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43026,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43027,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43028,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43029,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43030,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43031,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43032,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43033,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43034,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43035,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43036,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43037,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43038,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43039,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43040,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43041,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43042,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43043,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43044,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43045,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43046,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
43047,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
