# router-data/d6220/wl-diag-wl1-attach-to-bss-ch36.txt - TABLE OPS COLLAPSED (13255/22757 raw rimosse)
   1211.437000 #32512    cpu0 RAD.RD   addr=0x026f val=UNDEFINED
   1211.437000 #32513    cpu0 RAD.WR   addr=0x026f val=0x0000
   1211.437000 #32514    cpu0 RAD.MOD  addr=0x0265 val=0x0000 mask=0x0001
   1211.437000 #32515    cpu0 RAD.RD   addr=0x0265 val=UNDEFINED
   1211.437000 #32516    cpu0 RAD.WR   addr=0x0265 val=0x0000
   1211.437000 #32517    cpu0 RAD.MOD  addr=0x0526 val=0x0100 mask=0x0300
   1211.437000 #32518    cpu0 RAD.RD   addr=0x0526 val=UNDEFINED
   1211.437000 #32519    cpu0 RAD.WR   addr=0x0526 val=0x0100
   1211.438000 #32520    cpu0 RAD.MOD  addr=0x0527 val=0x0002 mask=0x0003
   1211.438000 #32521    cpu0 RAD.RD   addr=0x0527 val=UNDEFINED
   1211.438000 #32522    cpu0 RAD.WR   addr=0x0527 val=0x0002
   1211.438000 #32523    cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0004
   1211.438000 #32524    cpu0 RAD.RD   addr=0x046f val=UNDEFINED
   1211.438000 #32525    cpu0 RAD.WR   addr=0x046f val=0x0000
   1211.438000 #32526    cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0001
   1211.438000 #32527    cpu0 RAD.RD   addr=0x046f val=UNDEFINED
   1211.438000 #32528    cpu0 RAD.WR   addr=0x046f val=0x0000
   1211.438000 #32529    cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0002
   1211.438000 #32530    cpu0 RAD.RD   addr=0x046f val=UNDEFINED
   1211.438000 #32531    cpu0 RAD.WR   addr=0x046f val=0x0000
   1211.438000 #32532    cpu0 RAD.MOD  addr=0x0465 val=0x0000 mask=0x0001
   1211.438000 #32533    cpu0 RAD.RD   addr=0x0465 val=UNDEFINED
   1211.438000 #32534    cpu0 RAD.WR   addr=0x0465 val=0x0000
