   1310.423000 #55311    cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
   1310.423000 #55312    cpu1 RAD.WR   addr=0x08ed val=0x4124
   1310.423000 #55313    cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x1800
   1310.423000 #55314    cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
   1310.423000 #55315    cpu1 RAD.WR   addr=0x08ed val=0x4124
   1310.423000 #55316    cpu1 RAD.MOD  addr=0x0548 val=0x0001 mask=0x0001
   1310.423000 #55317    cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
   1310.423000 #55318    cpu1 RAD.WR   addr=0x0548 val=0x0001
   1310.423000 #55319    cpu1 RAD.WR   addr=0x0549 val=0x0000
   1310.423000 #55320    cpu1 RAD.WR   addr=0x054a val=0x0000
   1310.423000 #55321    cpu1 RAD.WR   addr=0x054b val=0x0000
   1310.423000 #55322    cpu1 RAD.WR   addr=0x054c val=0x0000
   1310.423000 #55323    cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
   1310.423000 #55324    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1310.423000 #55325    cpu1 RAD.WR   addr=0x040b val=0x0000
   1310.423000 #55326    cpu1 RAD.MOD  addr=0x040b val=0x0001 mask=0x0001
   1310.423000 #55327    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1310.423000 #55328    cpu1 RAD.WR   addr=0x040b val=0x0001
   1310.423000 #55329    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1310.423000 #55330    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1310.423000 #55331    cpu1 RAD.MOD  addr=0x0548 val=0x0000 mask=0x0001
   1310.423000 #55332    cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
   1310.423000 #55333    cpu1 RAD.WR   addr=0x0548 val=0x0000
   1310.423000 #55334    cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0040
   1310.423000 #55335    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1310.423000 #55336    cpu1 RAD.WR   addr=0x08ea val=0x00bf
   1310.423000 #55337    cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
   1310.423000 #55338    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1310.423000 #55339    cpu1 RAD.WR   addr=0x08ea val=0x003f
   1310.423000 #55340    cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
   1310.423000 #55341    cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1310.423000 #55342    cpu1 RAD.WR   addr=0x040b val=0x0168
   1310.423000 #55343    cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
   1310.423000 #55344    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1310.423000 #55345    cpu1 RAD.WR   addr=0x08ea val=0x00bf
   1310.423000 #55346    cpu1 RAD.MOD  addr=0x08ed val=0x0400 mask=0x0600
   1310.423000 #55347    cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
   1310.423000 #55348    cpu1 RAD.WR   addr=0x08ed val=0x4524
   1310.423000 #55349    cpu1 RAD.MOD  addr=0x0410 val=0x1000 mask=0x1000
   1310.423000 #55350    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.423000 #55351    cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1310.423000 #55352    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0018
   1310.423000 #55353    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.423000 #55354    cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1310.423000 #55355    cpu1 RAD.MOD  addr=0x0411 val=0x1c00 mask=0xff00
   1310.423000 #55356    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.423000 #55357    cpu1 RAD.WR   addr=0x0411 val=0x1c54
   1310.423000 #55358    cpu1 RAD.WR   addr=0x0412 val=0x014a
   1310.423000 #55359    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1310.423000 #55360    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.423000 #55361    cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1310.423000 #55362    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
   1310.423000 #55363    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.424000 #55364    cpu1 RAD.WR   addr=0x0410 val=0x1f81
   1310.424000 #55365    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
   1310.424000 #55366    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.424000 #55367    cpu1 RAD.WR   addr=0x0411 val=0x1c55
   1310.424000 #55368    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.424000 #55369    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.424000 #55370    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.424000 #55371    cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
   1310.424000 #55372    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.424000 #55373    cpu1 RAD.WR   addr=0x0411 val=0x1c54
   1310.424000 #55374    cpu1 RAD.RD   addr=0x0414 val=UNDEFINED
   1310.424000 #55375    cpu1 RAD.RD   addr=0x0415 val=UNDEFINED
   1310.424000 #55376    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1310.424000 #55377    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.424000 #55378    cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1310.424000 #55379    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
   1310.424000 #55380    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.424000 #55381    cpu1 RAD.WR   addr=0x0410 val=0x0f80
   1310.424000 #55382    cpu1 RAD.MOD  addr=0x0410 val=0x0010 mask=0x0018
   1310.424000 #55383    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.424000 #55384    cpu1 RAD.WR   addr=0x0410 val=0x0f90
   1310.424000 #55385    cpu1 RAD.MOD  addr=0x0411 val=0x7000 mask=0xff00
   1310.424000 #55386    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.424000 #55387    cpu1 RAD.WR   addr=0x0411 val=0x7054
   1310.424000 #55388    cpu1 RAD.WR   addr=0x0412 val=0x0101
   1310.424000 #55389    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1310.424000 #55390    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.424000 #55391    cpu1 RAD.WR   addr=0x0410 val=0x0f90
   1310.424000 #55392    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
   1310.424000 #55393    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.424000 #55394    cpu1 RAD.WR   addr=0x0410 val=0x0f91
   1310.424000 #55395    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
   1310.424000 #55396    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.424000 #55397    cpu1 RAD.WR   addr=0x0411 val=0x7055
   1310.425000 #55398    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.425000 #55399    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.425000 #55400    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.425000 #55401    cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
   1310.425000 #55402    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.425000 #55403    cpu1 RAD.WR   addr=0x0411 val=0x7054
   1310.425000 #55404    cpu1 RAD.RD   addr=0x0416 val=UNDEFINED
   1310.425000 #55405    cpu1 RAD.MOD  addr=0x0126 val=0x0009 mask=0x001f
   1310.425000 #55406    cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
   1310.425000 #55407    cpu1 RAD.WR   addr=0x0126 val=0x0109
   1310.425000 #55408    cpu1 RAD.MOD  addr=0x0043 val=0x0009 mask=0x001f
   1310.425000 #55409    cpu1 RAD.RD   addr=0x0043 val=UNDEFINED
   1310.425000 #55410    cpu1 RAD.WR   addr=0x0043 val=0x0009
   1310.425000 #55411    cpu1 RAD.MOD  addr=0x0326 val=0x0009 mask=0x001f
   1310.425000 #55412    cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
   1310.425000 #55413    cpu1 RAD.WR   addr=0x0326 val=0x0109
   1310.425000 #55414    cpu1 RAD.MOD  addr=0x0243 val=0x0009 mask=0x001f
   1310.425000 #55415    cpu1 RAD.RD   addr=0x0243 val=UNDEFINED
   1310.425000 #55416    cpu1 RAD.WR   addr=0x0243 val=0x0009
   1310.425000 #55417    cpu1 RAD.MOD  addr=0x0526 val=0x0009 mask=0x001f
   1310.425000 #55418    cpu1 RAD.RD   addr=0x0526 val=UNDEFINED
   1310.425000 #55419    cpu1 RAD.WR   addr=0x0526 val=0x0109
   1310.425000 #55420    cpu1 RAD.MOD  addr=0x0443 val=0x0009 mask=0x001f
   1310.425000 #55421    cpu1 RAD.RD   addr=0x0443 val=UNDEFINED
   1310.425000 #55422    cpu1 RAD.WR   addr=0x0443 val=0x0009
   1310.425000 #55423    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1310.425000 #55424    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.425000 #55425    cpu1 RAD.WR   addr=0x0410 val=0x0f90
   1310.425000 #55426    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
   1310.425000 #55427    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.425000 #55428    cpu1 RAD.WR   addr=0x0410 val=0x0f90
   1310.425000 #55429    cpu1 RAD.MOD  addr=0x0410 val=0x0008 mask=0x0018
   1310.425000 #55430    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.425000 #55431    cpu1 RAD.WR   addr=0x0410 val=0x0f88
   1310.425000 #55432    cpu1 RAD.MOD  addr=0x0411 val=0x4000 mask=0xff00
   1310.425000 #55433    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.425000 #55434    cpu1 RAD.WR   addr=0x0411 val=0x4054
   1310.425000 #55435    cpu1 RAD.WR   addr=0x0412 val=0x011a
   1310.425000 #55436    cpu1 RAD.MOD  addr=0x011d val=0x0000 mask=0x0004
   1310.425000 #55437    cpu1 RAD.RD   addr=0x011d val=UNDEFINED
   1310.425000 #55438    cpu1 RAD.WR   addr=0x011d val=0x0000
   1310.425000 #55439    cpu1 RAD.MOD  addr=0x0171 val=0x2000 mask=0x2000
   1310.425000 #55440    cpu1 RAD.RD   addr=0x0171 val=UNDEFINED
   1310.425000 #55441    cpu1 RAD.WR   addr=0x0171 val=0x2000
   1310.425000 #55442    cpu1 RAD.MOD  addr=0x031d val=0x0000 mask=0x0004
   1310.425000 #55443    cpu1 RAD.RD   addr=0x031d val=UNDEFINED
   1310.425000 #55444    cpu1 RAD.WR   addr=0x031d val=0x0000
   1310.425000 #55445    cpu1 RAD.MOD  addr=0x0371 val=0x2000 mask=0x2000
   1310.425000 #55446    cpu1 RAD.RD   addr=0x0371 val=UNDEFINED
   1310.425000 #55447    cpu1 RAD.WR   addr=0x0371 val=0x2000
   1310.425000 #55448    cpu1 RAD.MOD  addr=0x051d val=0x0000 mask=0x0004
   1310.425000 #55449    cpu1 RAD.RD   addr=0x051d val=UNDEFINED
   1310.425000 #55450    cpu1 RAD.WR   addr=0x051d val=0x0000
   1310.425000 #55451    cpu1 RAD.MOD  addr=0x0571 val=0x2000 mask=0x2000
   1310.426000 #55452    cpu1 RAD.RD   addr=0x0571 val=UNDEFINED
   1310.426000 #55453    cpu1 RAD.WR   addr=0x0571 val=0x2000
   1310.426000 #55454    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1310.426000 #55455    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.426000 #55456    cpu1 RAD.WR   addr=0x0410 val=0x0f88
   1310.426000 #55457    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
   1310.426000 #55458    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.426000 #55459    cpu1 RAD.WR   addr=0x0410 val=0x0f89
   1310.426000 #55460    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
   1310.426000 #55461    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.426000 #55462    cpu1 RAD.WR   addr=0x0411 val=0x4055
   1310.426000 #55463    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.426000 #55464    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.427000 #55465    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.427000 #55466    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1310.427000 #55467    cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
   1310.427000 #55468    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1310.427000 #55469    cpu1 RAD.WR   addr=0x0411 val=0x4054
   1310.427000 #55470    cpu1 RAD.RD   addr=0x0416 val=UNDEFINED
   1310.427000 #55471    cpu1 RAD.MOD  addr=0x0171 val=0x0000 mask=0x2000
   1310.427000 #55472    cpu1 RAD.RD   addr=0x0171 val=UNDEFINED
   1310.427000 #55473    cpu1 RAD.WR   addr=0x0171 val=0x0000
   1310.427000 #55474    cpu1 RAD.MOD  addr=0x0371 val=0x0000 mask=0x2000
   1310.427000 #55475    cpu1 RAD.RD   addr=0x0371 val=UNDEFINED
   1310.427000 #55476    cpu1 RAD.WR   addr=0x0371 val=0x0000
