    616.017000 #33345    cpu0 PHY.MOD  addr=0x0728 val=0x0020 mask=0x0020
    616.017000 #33346    cpu0 PHY.MOD  addr=0x0720 val=0x0040 mask=0x0040
    616.017000 #33347    cpu0 PHY.MOD  addr=0x0728 val=0x0000 mask=0x0040
    616.017000 #33348    cpu0 PHY.MOD  addr=0x0720 val=0x0010 mask=0x0010
    616.017000 #33349    cpu0 PHY.MOD  addr=0x0728 val=0x0010 mask=0x0010
    616.017000 #33350    cpu0 PHY.WR   addr=0x0736 val=0x0154
    616.017000 #33351    cpu0 PHY.WR   addr=0x0724 val=0x03ff
    616.017000 #33352    cpu0 PHY.MOD  addr=0x073a val=0x0003 mask=0x0007
    616.017000 #33353    cpu0 PHY.MOD  addr=0x0725 val=0x0020 mask=0x0020
    616.017000 #33354    cpu0 PHY.MOD  addr=0x0739 val=0x007a mask=0x007e
    616.017000 #33355    cpu0 PHY.MOD  addr=0x0725 val=0x0002 mask=0x0002
    616.017000 #33356    cpu0 PHY.MOD  addr=0x073a val=0x0000 mask=0x0008
    616.017000 #33357    cpu0 PHY.MOD  addr=0x0725 val=0x0040 mask=0x0040
    616.017000 #33358    cpu0 PHY.MOD  addr=0x073a val=0x0010 mask=0x0010
    616.017000 #33359    cpu0 PHY.MOD  addr=0x0725 val=0x0080 mask=0x0080
    616.017000 #33360    cpu0 PHY.MOD  addr=0x073a val=0x0040 mask=0x0060
    616.017000 #33361    cpu0 PHY.MOD  addr=0x0725 val=0x0100 mask=0x0100
    616.017000 #33362    cpu0 PHY.MOD  addr=0x0734 val=0x0000 mask=0x0007
    616.017000 #33363    cpu0 PHY.MOD  addr=0x0722 val=0x0004 mask=0x0004
    616.017000 #33364    cpu0 PHY.RD   addr=0x093e val=0x00000000
    616.017000 #33366    cpu0 PHY.WR   addr=0x093e val=0x0440
    616.017000 #33367    cpu0 PHY.RD   addr=0x0927 val=0x00000004
    616.017000 #33369    cpu0 PHY.RD   addr=0x093c val=0x00000000
    616.017000 #33371    cpu0 PHY.RD   addr=0x0921 val=0x00005000
    616.017000 #33373    cpu0 PHY.RD   addr=0x0929 val=0x00001000
    616.017000 #33375    cpu0 PHY.RD   addr=0x0920 val=0x00000180
    616.017000 #33377    cpu0 PHY.RD   addr=0x0928 val=0x00000880
    616.017000 #33379    cpu0 PHY.RD   addr=0x0924 val=0x00000000
    616.017000 #33381    cpu0 PHY.RD   addr=0x0936 val=0x00000000
    616.017000 #33383    cpu0 PHY.RD   addr=0x0925 val=0x00000600
    616.017000 #33385    cpu0 PHY.RD   addr=0x0939 val=0x00000000
    616.017000 #33387    cpu0 PHY.RD   addr=0x093a val=0x00000180
    616.017000 #33389    cpu0 PHY.RD   addr=0x0922 val=0x00000000
    616.017000 #33391    cpu0 PHY.RD   addr=0x0934 val=0x00000000
    616.017000 #33393    cpu0 PHY.MOD  addr=0x0927 val=0x0002 mask=0x0002
    616.017000 #33394    cpu0 PHY.MOD  addr=0x093c val=0x0002 mask=0x000e
    616.017000 #33395    cpu0 PHY.MOD  addr=0x0927 val=0x0001 mask=0x0001
    616.017000 #33396    cpu0 PHY.MOD  addr=0x093c val=0x0001 mask=0x0001
    616.017000 #33397    cpu0 PHY.MOD  addr=0x0921 val=0x0100 mask=0x0100
    616.017000 #33398    cpu0 PHY.MOD  addr=0x0929 val=0x0000 mask=0x0100
    616.017000 #33399    cpu0 PHY.MOD  addr=0x0920 val=0x0020 mask=0x0020
    616.017000 #33400    cpu0 PHY.MOD  addr=0x0928 val=0x0020 mask=0x0020
    616.017000 #33401    cpu0 PHY.MOD  addr=0x0920 val=0x0040 mask=0x0040
    616.017000 #33402    cpu0 PHY.MOD  addr=0x0928 val=0x0000 mask=0x0040
    616.017000 #33403    cpu0 PHY.MOD  addr=0x0920 val=0x0010 mask=0x0010
    616.017000 #33404    cpu0 PHY.MOD  addr=0x0928 val=0x0010 mask=0x0010
    616.017000 #33405    cpu0 PHY.WR   addr=0x0936 val=0x0154
    616.017000 #33406    cpu0 PHY.WR   addr=0x0924 val=0x03ff
    616.017000 #33407    cpu0 PHY.MOD  addr=0x093a val=0x0003 mask=0x0007
    616.017000 #33408    cpu0 PHY.MOD  addr=0x0925 val=0x0020 mask=0x0020
    616.017000 #33409    cpu0 PHY.MOD  addr=0x0939 val=0x007a mask=0x007e
    616.017000 #33410    cpu0 PHY.MOD  addr=0x0925 val=0x0002 mask=0x0002
    616.017000 #33411    cpu0 PHY.MOD  addr=0x093a val=0x0000 mask=0x0008
