   1304.440000 #1        cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1304.509000 #215      cpu0 RETVAL   for=#214 val=0x000000ff
   1304.509000 #216      cpu0 RAD.WR   addr=0x08ea val=0x00ff
   1304.509000 #217      cpu0 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
   1304.509000 #218      cpu0 RAD.RD   addr=0x08ea val=UNDEFINED
   1304.509000 #219      cpu0 RETVAL   for=#218 val=0x000000ff
   1304.509000 #220      cpu0 RAD.WR   addr=0x08ea val=0x00ff
   1304.509000 #221      cpu0 RAD.MOD  addr=0x08ed val=0x0000 mask=0x0600
   1304.509000 #222      cpu0 RAD.RD   addr=0x08ed val=UNDEFINED
   1304.509000 #223      cpu0 RETVAL   for=#222 val=0x00004524
   1304.509000 #224      cpu0 RAD.WR   addr=0x08ed val=0x4124
   1304.509000 #225      cpu0 RAD.MOD  addr=0x08ed val=0x0000 mask=0x1800
   1304.509000 #226      cpu0 RAD.RD   addr=0x08ed val=UNDEFINED
   1304.509000 #227      cpu0 RETVAL   for=#226 val=0x00004124
   1304.510000 #228      cpu0 RAD.WR   addr=0x08ed val=0x4124
   1304.510000 #229      cpu0 RAD.MOD  addr=0x0548 val=0x0001 mask=0x0001
   1304.510000 #230      cpu0 RAD.RD   addr=0x0548 val=UNDEFINED
   1304.510000 #231      cpu0 RETVAL   for=#230 val=0x00000000
   1304.510000 #232      cpu0 RAD.WR   addr=0x0548 val=0x0001
   1304.510000 #233      cpu0 RAD.WR   addr=0x0549 val=0x0000
   1304.510000 #234      cpu0 RAD.WR   addr=0x054a val=0x0000
   1304.510000 #235      cpu0 RAD.WR   addr=0x054b val=0x0000
   1304.510000 #236      cpu0 RAD.WR   addr=0x054c val=0x0000
   1304.510000 #237      cpu0 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
   1304.510000 #238      cpu0 RAD.RD   addr=0x040b val=UNDEFINED
   1304.510000 #239      cpu0 RETVAL   for=#238 val=0x00000000
   1304.510000 #240      cpu0 RAD.WR   addr=0x040b val=0x0000
   1304.510000 #241      cpu0 RAD.MOD  addr=0x040b val=0x0001 mask=0x0001
   1304.510000 #242      cpu0 RAD.RD   addr=0x040b val=UNDEFINED
   1304.511000 #243      cpu0 RETVAL   for=#242 val=0x00000000
   1304.511000 #244      cpu0 RAD.WR   addr=0x040b val=0x0001
   1304.511000 #245      cpu0 RAD.RD   addr=0x040b val=UNDEFINED
   1304.511000 #246      cpu0 RETVAL   for=#245 val=0x00000169
   1304.511000 #247      cpu0 RAD.RD   addr=0x040b val=UNDEFINED
   1304.511000 #248      cpu0 RETVAL   for=#247 val=0x00000169
   1304.511000 #249      cpu0 RAD.MOD  addr=0x0548 val=0x0000 mask=0x0001
   1304.511000 #250      cpu0 RAD.RD   addr=0x0548 val=UNDEFINED
   1304.511000 #251      cpu0 RETVAL   for=#250 val=0x00000001
   1304.511000 #252      cpu0 RAD.WR   addr=0x0548 val=0x0000
   1304.511000 #253      cpu0 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0040
   1304.511000 #254      cpu0 RAD.RD   addr=0x08ea val=UNDEFINED
   1304.511000 #255      cpu0 RETVAL   for=#254 val=0x000000ff
   1304.511000 #256      cpu0 RAD.WR   addr=0x08ea val=0x00bf
   1304.512000 #257      cpu0 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
   1304.512000 #258      cpu0 RAD.RD   addr=0x08ea val=UNDEFINED
   1304.512000 #259      cpu0 RETVAL   for=#258 val=0x000000bf
   1304.512000 #260      cpu0 RAD.WR   addr=0x08ea val=0x003f
   1304.512000 #261      cpu0 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
   1304.512000 #262      cpu0 RAD.RD   addr=0x040b val=UNDEFINED
   1304.512000 #263      cpu0 RETVAL   for=#262 val=0x00000169
   1304.512000 #264      cpu0 RAD.WR   addr=0x040b val=0x0168
   1304.512000 #265      cpu0 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
   1304.512000 #266      cpu0 RAD.RD   addr=0x08ea val=UNDEFINED
   1304.512000 #267      cpu0 RETVAL   for=#266 val=0x0000003f
   1304.512000 #268      cpu0 RAD.WR   addr=0x08ea val=0x00bf
   1304.513000 #269      cpu0 RAD.MOD  addr=0x08ed val=0x0400 mask=0x0600
   1304.513000 #270      cpu0 RAD.RD   addr=0x08ed val=UNDEFINED
   1304.513000 #271      cpu0 RETVAL   for=#270 val=0x00004124
   1304.513000 #272      cpu0 RAD.WR   addr=0x08ed val=0x4524
   1304.513000 #273      cpu0 RAD.MOD  addr=0x0410 val=0x1000 mask=0x1000
   1304.513000 #274      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.513000 #275      cpu0 RETVAL   for=#274 val=0x00000f80
   1304.513000 #276      cpu0 RAD.WR   addr=0x0410 val=0x1f80
   1304.513000 #277      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0018
   1304.513000 #278      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.514000 #279      cpu0 RETVAL   for=#278 val=0x00001f80
   1304.514000 #280      cpu0 RAD.WR   addr=0x0410 val=0x1f80
   1304.514000 #281      cpu0 RAD.MOD  addr=0x0411 val=0x1c00 mask=0xff00
   1304.514000 #282      cpu0 RAD.RD   addr=0x0411 val=UNDEFINED
   1304.514000 #283      cpu0 RETVAL   for=#282 val=0x00000f54
   1304.514000 #284      cpu0 RAD.WR   addr=0x0411 val=0x1c54
   1304.514000 #285      cpu0 RAD.WR   addr=0x0412 val=0x014a
   1304.514000 #286      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1304.514000 #287      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.515000 #288      cpu0 RETVAL   for=#287 val=0x00001f80
   1304.515000 #289      cpu0 RAD.WR   addr=0x0410 val=0x1f80
   1304.515000 #290      cpu0 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
   1304.515000 #291      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.515000 #292      cpu0 RETVAL   for=#291 val=0x00001f80
   1304.515000 #293      cpu0 RAD.WR   addr=0x0410 val=0x1f81
   1304.515000 #294      cpu0 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
   1304.515000 #295      cpu0 RAD.RD   addr=0x0411 val=UNDEFINED
   1304.515000 #296      cpu0 RETVAL   for=#295 val=0x00001c54
   1304.515000 #297      cpu0 RAD.WR   addr=0x0411 val=0x1c55
   1304.515000 #298      cpu0 RAD.RD   addr=0x0413 val=UNDEFINED
   1304.515000 #299      cpu0 RETVAL   for=#298 val=0x00000000
   1304.516000 #300      cpu0 RAD.RD   addr=0x0413 val=UNDEFINED
   1304.516000 #301      cpu0 RETVAL   for=#300 val=0x00000000
   1304.516000 #302      cpu0 RAD.RD   addr=0x0413 val=UNDEFINED
   1304.516000 #303      cpu0 RETVAL   for=#302 val=0x00000010
   1304.516000 #304      cpu0 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
   1304.516000 #305      cpu0 RAD.RD   addr=0x0411 val=UNDEFINED
   1304.516000 #306      cpu0 RETVAL   for=#305 val=0x00001c55
   1304.516000 #307      cpu0 RAD.WR   addr=0x0411 val=0x1c54
   1304.516000 #308      cpu0 RAD.RD   addr=0x0414 val=UNDEFINED
   1304.516000 #309      cpu0 RETVAL   for=#308 val=0x00000b39
   1304.516000 #310      cpu0 RAD.RD   addr=0x0415 val=UNDEFINED
   1304.516000 #311      cpu0 RETVAL   for=#310 val=0x00000c2d
   1304.517000 #312      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1304.517000 #313      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.517000 #314      cpu0 RETVAL   for=#313 val=0x00001f81
   1304.517000 #315      cpu0 RAD.WR   addr=0x0410 val=0x1f80
   1304.517000 #316      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
   1304.517000 #317      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.517000 #318      cpu0 RETVAL   for=#317 val=0x00001f80
   1304.517000 #319      cpu0 RAD.WR   addr=0x0410 val=0x0f80
   1304.517000 #320      cpu0 RAD.MOD  addr=0x0410 val=0x0010 mask=0x0018
   1304.517000 #321      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.517000 #322      cpu0 RETVAL   for=#321 val=0x00000f80
   1304.517000 #323      cpu0 RAD.WR   addr=0x0410 val=0x0f90
   1304.517000 #324      cpu0 RAD.MOD  addr=0x0411 val=0x7000 mask=0xff00
   1304.517000 #325      cpu0 RAD.RD   addr=0x0411 val=UNDEFINED
   1304.517000 #326      cpu0 RETVAL   for=#325 val=0x00001c54
   1304.517000 #327      cpu0 RAD.WR   addr=0x0411 val=0x7054
   1304.517000 #328      cpu0 RAD.WR   addr=0x0412 val=0x0101
   1304.518000 #329      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1304.518000 #330      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.518000 #331      cpu0 RETVAL   for=#330 val=0x00000f90
   1304.518000 #332      cpu0 RAD.WR   addr=0x0410 val=0x0f90
   1304.518000 #333      cpu0 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
   1304.518000 #334      cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
   1304.518000 #335      cpu0 RETVAL   for=#334 val=0x00000f90
   1304.518000 #336      cpu0 RAD.WR   addr=0x0410 val=0x0f91
   1304.518000 #337      cpu0 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
   1304.518000 #338      cpu0 RAD.RD   addr=0x0411 val=UNDEFINED
   1304.518000 #339      cpu0 RETVAL   for=#338 val=0x00007054
   1304.518000 #340      cpu0 RAD.WR   addr=0x0411 val=0x7055
   1304.519000 #341      cpu0 RAD.RD   addr=0x0413 val=UNDEFINED
   1304.519000 #342      cpu0 RETVAL   for=#341 val=0x00000000
   1304.519000 #343      cpu0 RAD.RD   addr=0x0413 val=UNDEFINED
   1304.519000 #344      cpu0 RETVAL   for=#343 val=0x00000000
   1304.519000 #345      cpu0 RAD.RD   addr=0x0413 val=UNDEFINED
   1304.519000 #346      cpu0 RETVAL   for=#345 val=0x00000010
   1304.519000 #347      cpu0 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
   1304.519000 #348      cpu0 RAD.RD   addr=0x0411 val=UNDEFINED
   1304.519000 #349      cpu0 RETVAL   for=#348 val=0x00007055
   1304.520000 #350      cpu0 RAD.WR   addr=0x0411 val=0x7054
   1304.520000 #351      cpu0 RAD.RD   addr=0x0416 val=UNDEFINED
   1304.520000 #352      cpu0 RETVAL   for=#351 val=0x00000006
   1304.520000 #353      cpu0 RAD.MOD  addr=0x0126 val=0x0006 mask=0x001f
   1304.520000 #354      cpu0 RAD.RD   addr=0x0126 val=UNDEFINED
