   1825.001000 #1211603  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.055000 #1211717  cpu1 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
   1825.055000 #1211718  cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1825.055000 #1211719  cpu1 RETVAL   for=#1211718 val=0x0000d800
   1825.055000 #1211720  cpu1 RAD.WR   addr=0x096b val=0xd804
   1825.055000 #1211721  cpu1 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
   1825.055000 #1211722  cpu1 RAD.RD   addr=0x0407 val=UNDEFINED
   1825.055000 #1211723  cpu1 RETVAL   for=#1211722 val=0x00008302
   1825.055000 #1211724  cpu1 RAD.WR   addr=0x0407 val=0x8302
   1825.055000 #1211725  cpu1 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
   1825.055000 #1211726  cpu1 RAD.RD   addr=0x055e val=UNDEFINED
   1825.055000 #1211727  cpu1 RETVAL   for=#1211726 val=0x00000020
   1825.055000 #1211728  cpu1 RAD.WR   addr=0x055e val=0x0030
   1825.055000 #1211729  cpu1 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
   1825.055000 #1211730  cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
   1825.055000 #1211731  cpu1 RETVAL   for=#1211730 val=0x00000100
   1825.055000 #1211732  cpu1 RAD.WR   addr=0x0126 val=0x0100
   1825.055000 #1211733  cpu1 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
   1825.055000 #1211734  cpu1 RAD.RD   addr=0x0127 val=UNDEFINED
   1825.055000 #1211735  cpu1 RETVAL   for=#1211734 val=0x00000002
   1825.055000 #1211736  cpu1 RAD.WR   addr=0x0127 val=0x0002
   1825.055000 #1211737  cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
   1825.055000 #1211738  cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1825.055000 #1211739  cpu1 RETVAL   for=#1211738 val=0x00000000
   1825.055000 #1211740  cpu1 RAD.WR   addr=0x006f val=0x0000
   1825.055000 #1211741  cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
   1825.055000 #1211742  cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1825.055000 #1211743  cpu1 RETVAL   for=#1211742 val=0x00000000
   1825.055000 #1211744  cpu1 RAD.WR   addr=0x006f val=0x0000
   1825.055000 #1211745  cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
   1825.055000 #1211746  cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1825.055000 #1211747  cpu1 RETVAL   for=#1211746 val=0x00000000
   1825.055000 #1211748  cpu1 RAD.WR   addr=0x006f val=0x0000
   1825.055000 #1211749  cpu1 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
   1825.055000 #1211750  cpu1 RAD.RD   addr=0x0065 val=UNDEFINED
   1825.055000 #1211751  cpu1 RETVAL   for=#1211750 val=0x00000000
   1825.055000 #1211752  cpu1 RAD.WR   addr=0x0065 val=0x0000
   1825.055000 #1211753  cpu1 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
   1825.055000 #1211754  cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
   1825.055000 #1211755  cpu1 RETVAL   for=#1211754 val=0x00000100
   1825.055000 #1211756  cpu1 RAD.WR   addr=0x0326 val=0x0100
   1825.055000 #1211757  cpu1 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
   1825.055000 #1211758  cpu1 RAD.RD   addr=0x0327 val=UNDEFINED
   1825.055000 #1211759  cpu1 RETVAL   for=#1211758 val=0x00000002
   1825.055000 #1211760  cpu1 RAD.WR   addr=0x0327 val=0x0002
   1825.055000 #1211761  cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
   1825.055000 #1211762  cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1825.055000 #1211763  cpu1 RETVAL   for=#1211762 val=0x00000000
   1825.055000 #1211764  cpu1 RAD.WR   addr=0x026f val=0x0000
   1825.055000 #1211765  cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0001
   1825.055000 #1211766  cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1825.055000 #1211767  cpu1 RETVAL   for=#1211766 val=0x00000000
   1825.055000 #1211768  cpu1 RAD.WR   addr=0x026f val=0x0000
   1825.055000 #1211769  cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0002
   1825.055000 #1211770  cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1825.055000 #1211771  cpu1 RETVAL   for=#1211770 val=0x00000000
   1825.055000 #1211772  cpu1 RAD.WR   addr=0x026f val=0x0000
   1825.055000 #1211773  cpu1 RAD.MOD  addr=0x0265 val=0x0000 mask=0x0001
   1825.055000 #1211774  cpu1 RAD.RD   addr=0x0265 val=UNDEFINED
   1825.055000 #1211775  cpu1 RETVAL   for=#1211774 val=0x00000000
   1825.055000 #1211776  cpu1 RAD.WR   addr=0x0265 val=0x0000
   1825.055000 #1211777  cpu1 RAD.MOD  addr=0x0526 val=0x0100 mask=0x0300
   1825.055000 #1211778  cpu1 RAD.RD   addr=0x0526 val=UNDEFINED
   1825.055000 #1211779  cpu1 RETVAL   for=#1211778 val=0x00000100
   1825.055000 #1211780  cpu1 RAD.WR   addr=0x0526 val=0x0100
   1825.055000 #1211781  cpu1 RAD.MOD  addr=0x0527 val=0x0002 mask=0x0003
   1825.055000 #1211782  cpu1 RAD.RD   addr=0x0527 val=UNDEFINED
   1825.055000 #1211783  cpu1 RETVAL   for=#1211782 val=0x00000002
   1825.055000 #1211784  cpu1 RAD.WR   addr=0x0527 val=0x0002
   1825.055000 #1211785  cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0004
   1825.055000 #1211786  cpu1 RAD.RD   addr=0x046f val=UNDEFINED
   1825.055000 #1211787  cpu1 RETVAL   for=#1211786 val=0x00000000
